x,y,yaw
13.2169,25.6073,-3.1327
13.1011,25.6075,-3.1403
12.9849,25.6068,-3.1363
12.8688,25.6054,-3.1309
12.7538,25.6043,-3.1333
12.6386,25.6045,-3.1409
12.5237,25.6050,3.1405
12.4117,25.6031,-3.1286
12.3009,25.5991,-3.1132
12.1887,25.5946,-3.1063
12.0754,25.5897,-3.1007
11.9616,25.5840,-3.0965
11.8473,25.5800,-3.1046
11.7318,25.5766,-3.1088
11.6162,25.5727,-3.1089
11.5010,25.5702,-3.1172
11.3858,25.5682,-3.1215
11.2704,25.5655,-3.1189
11.1549,25.5639,-3.1250
11.0391,25.5616,-3.1225
10.9235,25.5609,-3.1326
10.8075,25.5601,-3.1330
10.6915,25.5587,-3.1298
10.5757,25.5567,-3.1262
10.4602,25.5559,-3.1323
10.3446,25.5543,-3.1280
10.2292,25.5532,-3.1328
10.1134,25.5527,-3.1349
9.9974,25.5512,-3.1298
9.8816,25.5506,-3.1357
9.7660,25.5509,-3.1402
9.6519,25.5497,-3.1324
9.5417,25.5456,-3.1103
9.4312,25.5385,-3.0906
9.3194,25.5331,-3.0951
9.2064,25.5287,-3.1006
9.0930,25.5254,-3.1093
8.9790,25.5229,-3.1153
8.8640,25.5196,-3.1125
8.7487,25.5155,-3.1087
8.6334,25.5126,-3.1155
8.5178,25.5107,-3.1220
8.4021,25.5082,-3.1197
8.2863,25.5060,-3.1225
8.1708,25.5050,-3.1295
8.0552,25.5028,-3.1228
7.9394,25.5001,-3.1207
7.8234,25.4984,-3.1260
7.7078,25.4979,-3.1329
7.5922,25.4959,-3.1269
7.4763,25.4948,-3.1313
7.3601,25.4943,-3.1352
7.2436,25.4929,-3.1307
7.1284,25.4922,-3.1346
7.0165,25.4888,-3.1164
6.9042,25.4833,-3.1013
6.7908,25.4775,-3.0950
6.6768,25.4713,-3.0911
6.5626,25.4675,-3.1050
6.4482,25.4659,-3.1207
6.3329,25.4643,-3.1235
6.2170,25.4615,-3.1185
6.1011,25.4580,-3.1131
5.9858,25.4557,-3.1214
5.8703,25.4545,-3.1267
5.7546,25.4516,-3.1187
5.6392,25.4488,-3.1203
5.5239,25.4478,-3.1282
5.4085,25.4457,-3.1236
5.2935,25.4427,-3.1195
5.1782,25.4409,-3.1244
5.0630,25.4402,-3.1330
4.9472,25.4392,-3.1311
4.8317,25.4375,-3.1284
4.7192,25.4336,-3.1119
4.6067,25.4278,-3.0962
4.4934,25.4213,-3.0901
4.3794,25.4163,-3.0970
4.2650,25.4133,-3.1098
4.1500,25.4096,-3.1080
4.0343,25.4055,-3.1061
3.9186,25.4017,-3.1091
3.8031,25.3994,-3.1179
3.6875,25.3976,-3.1219
3.5717,25.3942,-3.1153
3.4562,25.3922,-3.1231
3.3405,25.3911,-3.1276
3.2244,25.3888,-3.1227
3.1087,25.3863,-3.1220
2.9933,25.3861,-3.1359
2.8778,25.3856,-3.1349
2.7620,25.3834,-3.1265
2.6465,25.3815,-3.1275
2.5310,25.3811,-3.1346
2.4167,25.3797,-3.1290
2.3052,25.3747,-3.1053
2.1929,25.3681,-3.0923
2.0798,25.3626,-3.0953
